movie_id,genre
1,Animation
1,Adventure
1,Family
1,Comedy
2,Adventure
2,Fantasy
2,Family
3,Romance
3,Comedy
4,Comedy
4,Drama
4,Romance
5,Comedy
5,Family
6,Action
6,Crime
6,Drama
6,Thriller
7,Comedy
7,Romance
8,Family
8,Action
8,Adventure
8,Drama
9,Action
10,Adventure
10,Action
10,Thriller
11,Comedy
11,Drama
11,Romance
12,Comedy
12,Horror
12,Fantasy
13,Family
13,Animation
13,Adventure
14,Drama
14,History
15,Action
15,Adventure
16,Crime
16,Drama
17,Drama
17,Romance
18,Crime
18,Comedy
19,Crime
19,Comedy
19,Adventure
20,Action
20,Comedy
20,Crime
21,Comedy
21,Thriller
21,Crime
22,Thriller
22,Crime
23,Action
23,Adventure
23,Crime
23,Thriller
24,Drama
24,Fantasy
24,Science Fiction
24,Thriller
25,Drama
25,Romance
26,Drama
27,Comedy
27,Drama
27,Romance
28,Drama
28,Romance
29,Fantasy
29,Science Fiction
29,Adventure
30,Drama
30,Crime
31,Drama
32,Science Fiction
32,Thriller
32,Mystery
33,Romance
33,Adventure
34,Fantasy
34,Drama
34,Comedy
34,Family
35,History
35,Drama
35,Romance
36,Drama
37,Adventure
37,History
37,Drama
37,Family
38,Comedy
38,Family
38,Romance
39,Comedy
39,Romance
40,Drama
41,Drama
41,War
42,Action
42,Drama
42,Crime
42,War
43,Drama
43,Romance
44,Action
44,Fantasy
45,Drama
45,Comedy
45,Crime
46,Drama
46,Romance
47,Crime
47,Mystery
47,Thriller
48,Adventure
48,Animation
48,Family
48,Romance
49,Drama
49,Romance
50,Drama
50,Crime
50,Thriller
51,Action
51,Thriller
51,Drama
52,Comedy
52,Romance
53,Drama
54,Action
54,Adventure
54,Comedy
54,Family
55,Drama
56,Family
56,Fantasy
56,Comedy
56,Adventure
57,Comedy
57,Drama
57,Romance
58,Comedy
58,Drama
58,Romance
59,Thriller
59,Drama
59,Mystery
60,Adventure
60,Family
60,Fantasy
61,Thriller
61,Crime
62,Drama
62,Music
62,Family
63,Comedy
64,Comedy
64,Romance
65,Comedy
66,Science Fiction
66,Horror
66,Action
66,Thriller
67,Drama
67,Family
68,Comedy
68,Romance
69,Comedy
70,Horror
70,Action
70,Thriller
70,Crime
71,Action
72,Comedy
72,Drama
72,Romance
73,Drama
74,Drama
74,Romance
75,Comedy
76,Horror
76,Science Fiction
77,Documentary
78,Drama
78,Thriller
79,Thriller
80,Drama
81,Drama
81,Crime
82,Drama
82,Comedy
83,Romance
83,Drama
84,Comedy
84,Drama
85,Drama
85,Romance
86,Adventure
86,Action
86,Drama
87,Family
87,Comedy
87,Adventure
88,Comedy
89,Thriller
89,Crime
89,Action
90,Drama
92,Drama
92,Horror
92,Thriller
92,History
93,Comedy
93,Horror
93,Romance
94,Comedy
94,Drama
94,Romance
95,Action
96,Comedy
97,Drama
98,Action
98,Adventure
98,Drama
98,Science Fiction
98,Thriller
99,Documentary
100,Drama
100,Thriller
101,Comedy
101,Crime
101,Drama
102,Comedy
102,Romance
103,Action
104,Comedy
105,Drama
105,Romance
106,Drama
106,Comedy
106,Family
107,Action
107,Comedy
107,Music
107,Family
107,Adventure
107,Romance
108,Documentary
109,Crime
110,Action
110,Drama
110,History
110,War
111,Crime
111,Drama
112,Crime
112,Action
112,Comedy
112,Thriller
113,Drama
113,Thriller
113,Mystery
114,Drama
115,Comedy
116,Documentary
116,Drama
117,Comedy
117,Crime
117,Drama
118,Comedy
118,Romance
119,Comedy
119,Drama
120,Adventure
120,Comedy
120,Drama
121,Drama
121,Crime
122,Comedy
122,Romance
123,Drama
123,Comedy
123,Romance
124,Drama
124,Romance
125,Comedy
126,Fantasy
126,Family
127,Drama
128,Documentary
128,Mystery
129,Comedy
129,Romance
130,Drama
131,Drama
131,Romance
131,War
132,Thriller
132,Mystery
133,Comedy
133,Drama
133,Romance
134,Music
134,Documentary
135,Comedy
136,Documentary
137,Comedy
138,Drama
140,Drama
140,Romance
141,Comedy
142,Drama
143,Drama
144,Comedy
144,Drama
144,Romance
145,Action
145,Comedy
145,Crime
145,Thriller
146,Adventure
146,Drama
146,Family
147,Drama
147,Crime
148,Romance
148,Drama
148,Comedy
149,Crime
149,Comedy
149,Drama
149,Thriller
150,History
150,Drama
150,Adventure
151,Adventure
151,History
151,Drama
151,Action
151,War
152,Drama
152,Horror
153,Action
153,Crime
153,Fantasy
154,Drama
154,Romance
155,Drama
155,Thriller
156,Comedy
157,Comedy
158,Fantasy
158,Comedy
158,Family
159,Mystery
159,Crime
159,Drama
160,Action
160,Adventure
160,Science Fiction
161,Thriller
161,Drama
161,Action
162,Documentary
163,Thriller
163,Action
163,Crime
164,Thriller
164,Crime
164,Drama
164,Mystery
165,Action
165,Thriller
166,Action
166,Comedy
166,Crime
166,Drama
167,Drama
167,Crime
168,Action
168,Adventure
168,Drama
168,Romance
169,Family
169,Adventure
169,Drama
170,Action
170,Crime
170,Thriller
170,Drama
171,Comedy
171,Drama
171,Romance
172,Science Fiction
172,Thriller
172,Adventure
172,Action
172,Drama
173,Science Fiction
174,Comedy
174,Drama
175,Drama
175,Crime
